text,label
"Bank Alert: Unusual activity detected. Verify your account now to prevent suspension: http://bnk-secure-login.com",spam
"URGENT: Your Chase account has been locked due to suspicious login. Verify now: http://chase-secure.info/verify",spam
"Your debit card has been temporarily suspended. Call 1-800-555-0192 immediately to reactivate it.",spam
"Final Notice: Your bank account will be closed in 24 hours. Confirm your identity here: http://bankverify-now.net",spam
"Congratulations! You have been pre-approved for a $10,000 personal loan. No credit check required. Reply YES to claim.",spam
"FREE MONEY ALERT: You have unclaimed funds of $3,500 in your account. Click here to transfer: http://free-funds.biz",spam
"BANK OF AMERICA: We detected a wire transfer of $7,500. Did you authorize this? Reply YES or NO immediately.",spam
"Your Wells Fargo account is at risk. Someone tried to access your funds. Secure it now: http://wf-alert.com",spam
"IRS TAX REFUND: You are eligible for a $1,200 tax refund. Provide your bank details to receive the payment today.",spam
"HSBC Alert: Your account has been flagged for unusual transactions. Verify your credentials: http://hsbc-secure.net",spam
"You have won £500 cash reward as a valued banking customer! To claim, call 09061743386. T&C apply.",spam
"Barclays Bank: IMPORTANT - Your account access has been restricted. Please verify your info at: http://barclays-update.com",spam
"LOAN APPROVED! Get up to $50,000 instantly. Bad credit OK. No collateral needed. Text LOAN to 54321 now!",spam
"Your PayPal account has been limited. Unusual activity detected. Verify your info: http://paypal-secure-login.co",spam
"ALERT: A $2,000 Zelle transfer is pending from your account. If not authorized, click here to cancel: http://zelle-cancel.net",spam
"Citi Bank: Your credit card ending in 4829 has been used for a $450 purchase. Confirm or deny: http://citi-fraud-alert.com",spam
"Earn $500/day from home using our proven investment system. Guaranteed returns! Join now: http://easy-invest.biz",spam
"Your TD Bank account will be debited $250 on 03/05. To dispute, verify your details: http://td-bank-dispute.com",spam
"IMPORTANT: Your SBI account has been temporarily blocked. Update your KYC details to restore access: http://sbi-kyc.info",spam
"Bitcoin investment opportunity! Double your money in 7 days. Invest as low as $100. Contact our agent now on WhatsApp.",spam
"Congratulations! You've been selected to receive a $1,000 Walmart gift card as a bank loyalty reward. Click to claim!",spam
"FINAL WARNING: Your bank account will be suspended due to verification failure. Update now: http://update-bank.com",spam
"Your Capital One card has been charged $899.99 at BestBuy. Not you? Call 1-888-555-0199 to dispute now.",spam
"FREE LOAN OFFER: Up to $25,000 with 0% interest for 6 months! Limited time only. Apply: http://instantloan.biz",spam
"Bank Security Alert: Someone logged into your account from an unknown device. Click here to secure it immediately.",spam
"You are owed a refund of $89.32 from your bank. Provide your account number and routing number to process: http://refund-now.info",spam
"American Express: Suspicious transaction of $1,100 on your card. Verify at: http://amex-fraud.net to avoid charges.",spam
"URGENT: Money transfer request of $3,200 to Nigeria is pending. If not authorized, reply STOP immediately.",spam
"Your account has qualified for our exclusive credit line increase to $15,000. No paperwork needed. Reply ACCEPT now.",spam
"Crypto Investment Alert: Turn $200 into $5,000 in 48 hours. Our AI trading bot never fails. Register now!",spam
"Your account: HDFC Bank - Rs.15,000 debited on 28-Feb. Not you? Call our helpline: 1800-123-4567 immediately.",spam
"Get rich quick! We'll help you transfer $5 million in unclaimed funds. Your cut is 30%. Provide bank details ASAP.",spam
"ALERT from Nationwide: Your account is being accessed from an unrecognized IP. Suspend access here: http://nationwide-lock.com",spam
"Congratulations! Your application for a $500 emergency cash loan has been approved! Claim your money: http://quickloan.biz",spam
"Your Venmo account has been suspended due to suspicious activity. Verify your identity: http://venmo-support.net",spam
"Free government grant of $9,500 available for your bank account! No repayment needed. Apply now: http://gov-grants.biz",spam
"BANK ALERT: Your PIN has been changed. If this was not you, call 0800-555-1234 and visit http://pin-reset.com",spam
"You have a pending bank dispute of $2,500 in your favor. To claim, we need your SSN and account number. Reply now.",spam
"Loan sharks are gone. Get approved for $10,000 in minutes. Bad credit? No problem. Click: http://easyapproval-loan.com",spam
"Your mortgage payment of $1,847 is overdue. Avoid foreclosure - pay now at: http://mortgage-pay.biz",spam
